,namiest,uezd
0,рязанск,донковск
1,вологодск,вологодск
2,нижегородск,арзамаск
3,тамбовск,темниковск
4,синбирск,
5,ярославск,ярославск
6,пензенск,керенск
7,тульск,
8,воронеж,
9,екатеринославск,
10,курск,белогородск
11,тамбовск,
12,харьковск,изюмск
13,могилевск,рогачевск
14,синбирск,алатырьск
15,орловск,елецк
16,нижегородск,
17,харьковск,харьковск
18,архангельск,
19,тульск,веневск
20,кавказск,
21,пензенск,саранск
22,саратовск,
23,харьковск,
24,нот_ин_теxт,
25,харьковск,изюмовск
26,киевск,переяславск
27,киевск,киевск
28,новогородского - северск,нежинск
29,новогородского - северск,новогородского - северск
30,черниговск,
31,саратовск,саратовск
32,тобольск,
33,кострома,чухломск
34,московск,волоколамск
35,тульск,каширск
36,казанск,
37,полотск,динабургск
38,пермск,
39,уфимск,челябинск
40,курск,
41,киевск,миргородск
42,пензенск,нижеломовск
43,московск,
44,владимерск,суздальск
45,тверск,зубцов
46,московск,можайск
47,ярославск,
48,ярославск,петровск
49,новогородск,
50,калужск,
51,харьковск,ахтырск
52,калужск,козельск
53,новогородск,новогородск
54,орловск,
55,екатеринославск,полотавск
56,нот_ин_теxт,новгородск
57,киевск,лубенск
58,тульск,епифанск
59,кострома,
60,черниговск,пирятинск
61,екатеринославск,полтавск
62,ярославск,пошехонск
63,новогородск,белозерск
64,смоленск,
65,воронеж,валуек
66,могилевск,
67,черниговск,прилуцк
68,архангельск,мезенск
69,полотск,
70,ярославск,ростовск
71,рижск,
72,тульск,тульского ж
73,черниговск,гадяцк
74,иркутск,
75,вологодск,
76,тверск,
77,выборг,
78,владимерск,гороховск
79,псковск,
80,нот_ин_теxт,полотск
81,харьковск,белогородск
82,черниговск,нежинск
83,тверск,кашинск
84,олонецк,
85,кострома,кинешм
86,московск,верейск
87,могилевск,рогачев
88,могилевск,белицк
89,владимерск,
90,синбирск,синбирск
91,ревельск,
92,тамбовск,шатск
93,тульск,алексин
94,ярославск,любимск
95,псковск,островск
96,киевск,
97,могилевск,оршанск
98,тульск,белевск
99,новогородского - северск,стародубовск
100,тульскаг,каширск
101,тульск,алексинск
102,черниговск,черниговск
103,рязанск,
104,псковск,псковск
105,тамбовск,козловск
106,тульск,левск
107,московск,коломн
108,псковск,остров
109,рязанск,касимовск
110,тверск,бежецк
111,могилевск,старобыховск
112,тульск,новосил
113,иркутск,киренск
114,харьковск,изюм
115,новогородского - северск,сосницк
116,черниговск,нежин
117,московск,звенигородск
118,курск,короченск
119,нижегородск,арсамазск
120,пензенск,
121,полотск,динабург
122,московск,рузск
123,могилевск,мстиславск
124,нижегородск,арсамазском
125,тверск,тверск
126,кострома,юрьевц
127,кострома,кашинск
128,рязанск,рязанск
129,екатеринославск,екатеринославск
130,московск,коломенск
131,казанск,свиажск
132,владимерск,гороховецк
133,московск,дмитровск
134,тамбовск,шацк
135,новогородского - северск,
136,курск,курск
137,могилевск,климовицк
138,харьковск,ахтырк
139,вятск,
140,пензенск,наровчатовск
141,тамбовск,лебедян
142,орловск,ливенск
143,кострома,костромск
144,могилевск,чериковск
145,харьковск,миропол
146,вологодск,яренск
147,иркутск,верхнеудивск
148,рязанск,зарайск
149,псковск,великолуцк
150,выборг,выборгск
151,нот_ин_теxт,харьков
152,нот_ин_теxт,вологодск
153,тамбовск,козлов
154,могилевск,бабиновецк
155,пензенск,краснослободск
